excel_sheet,excel_row,year,operation_name_raw,operation_name_canonical_candidate,source_url,source_url_normalized,matched_source_slug,matched_operation_slug,excel_agencies,excel_countries,excel_crime_types_detected,excel_crime_label_raw,wiki_agencies,wiki_countries,wiki_crime_types,review_status,review_note
sheet1_collect_urls,537,2024,(가칭)Operation Naija-Japan Scam,Operation Naija-Japan Scam,https://www.thecable.ng/npf-eleven-cybercrime-suspects-arrested-33320-recovered-in-joint-operation-with-japanese-police/,https://thecable.ng/npf-eleven-cybercrime-suspects-arrested-33320-recovered-in-joint-operation-with-japanese-police,,,"Nigeria Police Force, National Cybercrime Centre, National Central Bureau (Nigeria), NCB Tokyo, National Police Agency of Japan","나이지리아, 일본",malware-ic,"사이버범죄(사기, 사기성 연애 사기)",,,,needs_manual_review,provisional_operation_name
sheet1_collect_urls,555,2025,(가칭)Operation Kanlaon Tower,Operation Kanlaon Tower,https://usa.inquirer.net/172272/indonesia-extradites-29-cybercrime-suspects,https://usa.inquirer.net/172272/indonesia-extradites-29-cybercrime-suspects,,,"National Central Bureau (NCB) Interpol Indonesia, Philippine National Police(PNP), Philippine security authorities, Polri(인도네시아 국가경찰)","인도네시아, 필리핀",malware-ic,"온라인 사기, 불법 온라인 도박(가상 사기 및 불법 게임 운영)",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,23,2015,(가칭)Operation Phishing Syndicate,Operation Phishing Syndicate,https://www.europol.europa.eu/media-press/newsroom/news/international-operation-dismantles-criminal-group-of-cyber-fraudsters,https://europol.europa.eu/media-press/newsroom/news/international-operation-dismantles-criminal-group-of-cyber-fraudsters,2015-06-01_europol-europa-eu_international-operation-dismantles-criminal-group-of-cyber-fraudsters,,"Europol, Eurojust, 이탈리아 경찰(Polizia di Stato), 스페인 국가경찰, 폴란드 경찰, 영국 법집행기관","이탈리아, 스페인, 폴란드, 영국, 벨기에, 조지아",malware-ic,"금융사기, 이메일계정해킹, 악성코드유포, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,46,2015,(가칭)Operation Russian Ransom,Operation Russian Ransom,https://www.businessinsider.com/flashpoint-report-ransomware-2016-6,https://businessinsider.com/flashpoint-report-ransomware-2016-6,,,"Flashpoint(사이버 위협 인텔리전스 분석), FBI(피해 통계 및 대응)","러시아, 미국","ransomware-ic, malware-ic","랜섬웨어, 컴퓨터사기, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,61,2016,(가칭)Operation Mike,Operation Mike,https://news.sophos.com/en-us/2016/08/02/nigerian-scammer-arrested-for-60-million-email-fraud/,https://news.sophos.com/en-us/2016/08/02/nigerian-scammer-arrested-for-60-million-email-fraud,,,"INTERPOL, Nigerian Economic and Financial Crime Commission (EFCC)","나이지리아, 말레이시아, 남아프리카공화국, 미국, 중국, 유럽(자금 세탁 관련)",malware-ic,"이메일계정해킹, 컴퓨터사기, 자금세탁, 비즈니스이메일사기(BEC), CEO사기",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,73,2017,(가칭)Operation Teenage Breach,Operation Teenage Breach,https://www.walesonline.co.uk/news/wales-news/teenager-wales-charged-international-computer-11737455,https://walesonline.co.uk/news/wales-news/teenager-wales-charged-international-computer-11737455,,,"웨일스 경찰, 국제 사이버범죄수사기관, National Crime Agency, Europol(기사 내 구체적 명시는 없으나, 국제 공조 언급)","영국(웨일스), 국제(미국 등 기타 국가 언급, 구체적 명시 없음)",malware-ic,"컴퓨터오용, 해킹, 불법컴퓨터접근, 불법데이터유출",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,87,2017,(가칭)Operation CardHack London,Operation CardHack London,https://www.bbc.com/news/uk-41240643,https://bbc.com/news/uk-41240643,,,"런던 경찰, 영국 국립범죄청(NCA), 국제 법집행기관","영국(런던), 국제(피해자 다수, 구체적 국가 명시 없음)",malware-ic,"해킹, 불법데이터유출, 신용카드사기, 불법금융정보거래",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,88,2017,(가칭)Operation ASEAN Sweep,Operation ASEAN Sweep,https://www.freemalaysiatoday.com/category/nation/2017/04/24/interpol-finds-9000-compromised-websites,https://freemalaysiatoday.com/category/nation/2017/04/24/interpol-finds-9000-compromised-websites,2017-04-24_freemalaysiatoday-com_interpol-finds-9000-compromised-websites,,"Interpol, Trend Micro, Kaspersky Lab, Cyber Defense Institute, Booz Allen Hamilton, British Telecom, Fortinet, Palo Alto Networks, 인도네시아, 말레이시아, 미얀마, 필리핀, 싱가포르, 태국, 베트남 등 각국 경찰 및 사이버수사기관, 중국(정보 제공)","인도네시아, 말레이시아, 미얀마, 필리핀, 싱가포르, 태국, 베트남, 중국(정보 제공)","ransomware-ic, malware-ic","해킹, 악성코드유포, 랜섬웨어, DDoS공격, 스팸유포, 불법데이터유출, 컴퓨터사기, 피싱",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,89,2017,(가칭)Operation WannaCry,Operation WannaCry,https://time.com/4781809/ransomware-attack-north-korea-wannacry/,https://time.com/4781809/ransomware-attack-north-korea-wannacry,,,"주요 보안기업(하우리랩스, 시만텍 등), FBI, 미국 정부, 기타 국제 보안기관","미국, 영국, 중국, 러시아, 이스라엘, 남한 등(전 세계적 피해 및 조사)","ransomware-ic, malware-ic",랜섬웨어,,,,needs_manual_review,provisional_operation_name
sheet2_extracted,94,2017,(가칭)Operation Fiji Fraud,Operation Fiji Fraud,https://www.arabnews.com/node/1141451/world,https://arabnews.com/node/1141451/world,,,"피지 경찰, 중국 경찰, 중국 대사관(수바)","피지, 중국",malware-ic,"컴퓨터사기, 불법온라인도박",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,100,2017,(가칭)Operation QatarLeak,Operation QatarLeak,https://www.aljazeera.com/news/2017/6/7/qatar-reveals-preliminary-results-of-qna-hacking-probe,https://aljazeera.com/news/2017/6/7/qatar-reveals-preliminary-results-of-qna-hacking-probe,,,"카타르 내무부, 정부통신청(GCO), 미국 연방수사국(FBI), 영국 국가범죄수사위원회(National Commission for Combating Crime)","카타르, 미국, 영국",malware-ic,"사이버침입, 허위정보유포, 국가이미지훼손",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,97,2018,(가칭)Operation MoneyTaker,Operation MoneyTaker,https://cyberscoop.com/money-taker-group-ib-banking-hack-russia/,https://cyberscoop.com/money-taker-group-ib-banking-hack-russia,,,"Group-IB(사이버보안기업), 피해 금융기관, 국제 로펌, 금융 소프트웨어 공급업체","미국, 영국, 러시아",malware-ic,"금융기관해킹, 은행사기, 정보유출, 자금탈취",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,111,2018,(가칭)Operation Manila Gamble,Operation Manila Gamble,https://www.gmanetwork.com/news/topstories/metro/676254/15-chinese-nationals-arrested-for-illegal-online-gambling/story/,https://gmanetwork.com/news/topstories/metro/676254/15-chinese-nationals-arrested-for-illegal-online-gambling/story,,,"필리핀 국가수사국(NBI), 사이버범죄과, 디지털포렌식팀","필리핀, 중국",malware-ic,사이버도박,,,,needs_manual_review,provisional_operation_name
sheet2_extracted,112,2018,(가칭)Operation EagleNet,Operation EagleNet,https://www.vanguardngr.com/2018/06/efcc-fbi-partner-fight-cybercrime/,https://vanguardngr.com/2018/06/efcc-fbi-partner-fight-cybercrime,,,"EFCC(나이지리아 경제·금융범죄위원회), FBI(미국 연방수사국), EFCC 사이버범죄과","나이지리아, 미국",malware-ic,"금융사기, 부패",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,121,2018,(가칭)Operation CardStorm,Operation CardStorm,https://www.bbc.com/news/uk-43893420,https://bbc.com/news/uk-43893420,bbc-banking-trojan-fraud-sentencing,,"영국 국가범죄수사국(National Crime Agency), FBI, 유럽 법집행기관","영국, 미국, 유럽(독일, 프랑스 등)",malware-ic,"신용카드정보도난및유통, 자금세탁, 컴퓨터사기, 범죄조직운영",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,122,2018,(가칭)Operation Carbanak,Operation Carbanak,https://www.europol.europa.eu/media-press/newsroom/news/mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain,https://europol.europa.eu/media-press/newsroom/news/mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain,2018-03-01_europol-europa-eu_mastermind-behind-eur-1-billion-cyber-bank-robbery-arrested-in-spain,,"스페인 국가경찰(Spanish National Police), Europol, FBI, 루마니아 경찰, 벨라루스 경찰, 대만(중화민국) 관련 기관, 민간 사이버보안 기업(카스퍼스키 등)","스페인, 미국, 루마니아, 벨라루스, 대만(중화민국)",malware-ic,"금융기관해킹, 악성코드유포, 신용카드및은행계좌정보도난, 사기, 자금세탁, 범죄조직운영",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,134,2018,(가칭)Operation Infraud,Operation Infraud,https://www.voanews.com/a/thais-arrest-alleged-russian-cybercrime-market-operator/4246130.html,https://voanews.com/a/thais-arrest-alleged-russian-cybercrime-market-operator/4246130.html,2018-02-07_voanews-com_4246130,,"미국 법무부, 미국 국토안보부, 태국 경찰, 프랑스 법집행기관, 영국 법집행기관, 이탈리아 법집행기관, 호주 법집행기관, 코소보 법집행기관, 세르비아 법집행기관","미국, 태국, 프랑스, 영국, 이탈리아, 호주, 코소보, 세르비아",malware-ic,"신용카드·데빗카드·은행계좌 정보 도난 및 유통, 불법 하드웨어 유통, 악성코드유포, 컴퓨터사기, 범죄조직운영",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,135,2018,(가칭)Operation RexMundi,Operation RexMundi,https://www.europol.europa.eu/media-press/newsroom/news/french-coder-who-helped-extort-british-company-arrested-in-thailand,https://europol.europa.eu/media-press/newsroom/news/french-coder-who-helped-extort-british-company-arrested-in-thailand,2018-05-18_europol-europa-eu_french-coder-who-helped-extort-british-company-arrested-in-thailand,,"영국 런던 경찰(Metropolitan Police), 프랑스 국가경찰(High Tech Crime Unit), 태국 왕립경찰, Europol, J-CAT(유럽합동사이버범죄특별팀)","영국, 프랑스, 태국",malware-ic,"사이버협박, 데이터유출, 불법침입, 신용카드정보도난, 범죄조직운영",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,147,2018,(가칭)Operation ATM Havoc,Operation ATM Havoc,https://www.thirdway.org/report/countering-the-cyber-enforcement-gap-strengthening-global-capacity-on-cybercrime,https://thirdway.org/report/countering-the-cyber-enforcement-gap-strengthening-global-capacity-on-cybercrime,,,"Europol, Europol Cybercrime Centre(EC3), Europol Joint Cybercrime Action Taskforce(J-CAT), 스페인 국립경찰, 미국 FBI, 루마니아 법집행기관, 몰도바 법집행기관, 벨라루스 법집행기관, 대만 법집행기관, 민간 사이버보안 기업","스페인, 미국, 루마니아, 몰도바, 벨라루스, 대만, 40개국 이상(피해 국가)",malware-ic,"악성코드유포, 금융기관해킹, ATM네트워크공격, 신용카드정보도난, 금융사기, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,150,2019,(가칭)Operation GozNym,Operation GozNym,https://www.eurojust.europa.eu/news/goznym-malware-cybercriminal-network-dismantled-international-operation,https://eurojust.europa.eu/news/goznym-malware-cybercriminal-network-dismantled-international-operation,,,"Europol, Eurojust, 미국 서부 펜실베이니아 연방검찰, FBI, 독일 뤼네부르크 경찰, 불가리아 조직범죄수사국, 조지아 내무부 및 검찰, 우크라이나 국가경찰 및 검찰, 몰도바 경찰 및 검찰","미국, 불가리아, 독일, 조지아, 몰도바, 우크라이나",malware-ic,"악성코드(GozNym) 유포, 피싱, 온라인 뱅킹 자격증명 도용, 은행계좌 불법 접근, 자금 절도, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,153,2019,(가칭)Operation Thallium Block,Operation Thallium Block,https://blogs.microsoft.com/on-the-issues/2019/12/30/microsoft-court-action-against-nation-state-cybercrime/,https://blogs.microsoft.com/on-the-issues/2019/12/30/microsoft-court-action-against-nation-state-cybercrime,,,"Microsoft Digital Crimes Unit(DCU), Microsoft Threat Intelligence Center(MSTIC), 미국 동부버지니아 연방지방법원","미국, 일본, 한국(피해 국가), 북한(공격자 추정 소재지)",malware-ic,"스피어 피싱, 악성코드유포, 계정 침해, 네트워크 보안 침해, 민감 정보 탈취",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,160,2019,(가칭)Operation Manila 600,Operation Manila 600,https://www.scmp.com/news/asia/southeast-asia/article/3027741/more-320-chinese-arrested-philippines-illegal-online,https://scmp.com/news/asia/southeast-asia/article/3027741/more-320-chinese-arrested-philippines-illegal-online,,,"Philippines Bureau of Immigration, 현지 경찰, 중국 대사관","필리핀, 중국",malware-ic,"불법 온라인 도박, 컴퓨터사기, 투자 사기, 불법 취업, 불법 체류, 비자 위반, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,184,2020,(가칭)Operation Latvian Wash,Operation Latvian Wash,https://eng.lsm.lv/article/society/crime/latvian-police-played-leading-role-in-us-cybercrime-crackdown.a378200/,https://eng.lsm.lv/article/society/crime/latvian-police-played-leading-role-in-us-cybercrime-crackdown.a378200,,,"라트비아 경찰(State Police), FBI, 미국 법무부(Department of Justice), Europol","라트비아, 미국",malware-ic,"자금세탁, 불법 자금 이체, 신분 도용, 피싱, 해킹, 사이버 사기",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,194,2020,(가칭)Operation Karachi Stalk,Operation Karachi Stalk,https://dailytimes.com.pk/676333/ae7-architect-george-girgis-behind-fake-accounts-cybercrime-network/#google_vignette,https://dailytimes.com.pk/676333/ae7-architect-george-girgis-behind-fake-accounts-cybercrime-network,,,"파키스탄 연방수사국(FIA), 트위터, 런던 메트로폴리탄 경찰, 두바이 경찰","파키스탄, 영국, 미국, 아랍에미리트(두바이)",malware-ic,"사이버 괴롭힘, 협박, 허위 계정 운영, 명예훼손, 사기, 신분 도용, 사이버 범죄(블랙메일, 허위 정보 유포 등)",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,84,2021,(가칭)Operation PeerWatch,Operation PeerWatch,https://timesofmalta.com/article/malta-police-taking-part-in-european-cyber-crime-operation.641343,https://timesofmalta.com/article/malta-police-taking-part-in-european-cyber-crime-operation.641343,,,"몰타 경찰 사이버범죄팀, Europol, 유럽연합 회원국 경찰","몰타, 유럽연합 회원국(모두)","csam-ic, malware-ic","아동 학대 영상 및 사진 유포, 아동 성착취, 불법데이터유출",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,213,2021,(가칭)Operation DoubleVPN,Operation DoubleVPN,https://www.welivesecurity.com/2021/06/30/global-police-vpn-service-cybercriminals/,https://welivesecurity.com/2021/06/30/global-police-vpn-service-cybercriminals,,,"네덜란드 국가경찰, 유로폴(Europol), 유로저스트(Eurojust), 미국 연방수사국(FBI), 캐나다, 스웨덴, 독일, 스위스, 불가리아, 영국, 이탈리아 경찰 및 수사기관","네덜란드, 미국, 캐나다, 스웨덴, 독일, 스위스, 불가리아, 영국, 이탈리아","ransomware-ic, malware-ic","사이버범죄(랜섬웨어, 피싱, 신분도용, 불법 자금 유통 등), 불법 VPN 서비스 이용",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,214,2021,(가칭)Operation TrickBot Witte,Operation TrickBot Witte,https://www.bloomberg.com/news/articles/2021-06-09/hacker-known-as-max-is-55-year-old-woman-from-russia-u-s-says,https://bloomberg.com/news/articles/2021-06-09/hacker-known-as-max-is-55-year-old-woman-from-russia-u-s-says,,,"미국 법무부, FBI, 국제 수사기관","미국, 러시아(용의자 국적)","ransomware-ic, malware-ic","사이버범죄, 랜섬웨어, Trickbot 멀웨어 유포, 신용카드 정보 유출 등",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,285,2022,(가칭)Operation FakeMall Takedown,Operation FakeMall Takedown,https://www.europol.europa.eu/media-press/newsroom/news/fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline,https://europol.europa.eu/media-press/newsroom/news/fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline,2024-12-04_europol-europa-eu_fraudulent-shopping-sites-tied-to-cybercrime-marketplace-taken-offline,,"Europol, 독일 하노버 경찰(Polizeidirektion Hannover), Verden 검찰청(Staatsanwaltschaft Verden), 각국 법집행기관(독일, 오스트리아, 핀란드, 네덜란드, 노르웨이 등)","독일, 오스트리아, 핀란드, 네덜란드, 노르웨이",malware-ic,"사이버 사기, 신분도용, 불법 금융거래, 계정 정보 유출, 피싱, 데이터 절도, 조직적 사이버범죄",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,215,2022,(가칭)Operation Black Axe,Operation Black Axe,https://therecord.media/us-arrests-33-bec-scammers-linked-to-nigerian-crime-syndicate,https://therecord.media/us-arrests-33-bec-scammers-linked-to-nigerian-crime-syndicate,,,"미국 연방수사국(FBI), 텍사스 주 경찰, 미국 법무부","미국, 나이지리아(범죄 조직 본부)",malware-ic,"사이버범죄, 비즈니스 이메일 위장 사기(BEC), 투자사기, 실업보험 사기, 온라인 연애사기, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,226,2022,(가칭)Operation Marketplace A,Operation Marketplace A,https://cyberscoop.com/igor-dekhtyarchuk-marketplace-a-indictment-doj-fbi/,https://cyberscoop.com/igor-dekhtyarchuk-marketplace-a-indictment-doj-fbi,2022-03-22_cyberscoop_igor-dekhtyarchuk-marketplace-a-indictment-doj-fbi,,"미국 법무부(DOJ), FBI, 동부 텍사스 연방검찰(EDTX), 라트비아 국가경찰(State Police of Latvia)","미국, 라트비아",malware-ic,"와이어 사기(wire fraud), 접근장치 사기(access device fraud), 중대한 신분도용(aggravated identity theft), 불법 접근장치 유통, 불법 접근장치 보유, 불법 접근장치 권유 등",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,232,2022,(가칭)Operation Molo Sanction,Operation Molo Sanction,https://www.pressherald.com/2022/04/06/u-s-charges-russian-oligarch-dismantles-cybercrime-operation/,https://pressherald.com/2022/04/06/u-s-charges-russian-oligarch-dismantles-cybercrime-operation,,,"미국 법무부(DOJ), FBI, 미국 재무부, 유럽 각국 수사기관(협력)","미국, 유럽(협력기관 소재 국가)",malware-ic,"미국 정부 제재 위반, 사이버범죄(러시아 군사정보기관 주도), 불법 자금 세탁, 불법 이득 취득",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,237,2022,(가칭)Operation Raccoon Sweep,Operation Raccoon Sweep,https://www.scworld.com/brief/cybercriminals-increasingly-using-caramel-credit-card-theft-service,https://scworld.com/brief/cybercriminals-increasingly-using-caramel-credit-card-theft-service,,,"미국 법무부(DOJ), FBI, 네덜란드 경찰, 이탈리아 경찰","미국, 네덜란드, 이탈리아",malware-ic,"사이버범죄, 컴퓨터 관련 사기 음모, 금융사기 음모, 자금세탁 음모, 중대한 신분도용, 불법 데이터 도용",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,358,2022,(가칭)Operation JP Morgan,Operation JP Morgan,https://www.occrp.org/en/news/ransomware-kingpin-extradited-to-us-faces-decades-in-prison,https://occrp.org/en/news/ransomware-kingpin-extradited-to-us-faces-decades-in-prison,,,"미국 법무부, 미국 비밀경호국(USSS), FBI, 영국 국가범죄수사국(NCA), 스페인 경찰","영국, 미국, 스페인","ransomware-ic, malware-ic","랜섬웨어, 악성 광고, 악성코드유포, 신분도용, 자금세탁",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,439,2023,(가칭)Operation Crypto Blender,Operation Crypto Blender,https://cyberscoop.com/russians-crypto-mixers-doj-charges/,https://cyberscoop.com/russians-crypto-mixers-doj-charges,,,"미국 법무부(DOJ), 미국 연방수사국(FBI), 네덜란드 재정정보조사국(FI-IS), 핀란드 국립수사국(NBI), 미국 재무부 OFAC","미국, 네덜란드, 핀란드, 러시아(피의자 국적)","ransomware-ic, malware-ic","자금세탁 공모, 무면허 자금 송금 사업 운영, 랜섬웨어 수익 세탁, 암호화폐 절도, 불법 금융정보 거래, 사이버범죄",,,,needs_manual_review,provisional_operation_name
sheet2_extracted,197,2023,(가칭)Operation Africa CyberDesk,Operation Africa CyberDesk,https://www.interpol.int/News-and-Events/News/2021/INTERPOL-launches-initiative-to-fight-cybercrime-in-Africa,https://interpol.int/News-and-Events/News/2021/INTERPOL-launches-initiative-to-fight-cybercrime-in-Africa,,,"인터폴(INTERPOL), 영국 외교부(UK Foreign Office), 각국 경찰 및 수사기관",아프리카 49개국(구체적 국가명 미상세),malware-ic,사이버범죄(인터넷 사기 등 포함),,,,needs_manual_review,provisional_operation_name
